"","number","date.tag","ecocean","sex","size","transmitterid","batch"
"1",1,2012-10-22,"TZ-032","M",4.5,"A69-9002-15369","2012-1"
"2",2,2012-10-23,"TZ-016","M",7,"A69-9002-15373","2012-1"
"3",3,2012-10-24,"TZ-020","M",5,"A69-9002-15367","2012-1"
"4",5,2012-10-27,"TZ-026","M",6,"A69-9002-15365","2012-1"
"5",6,2012-10-29,"TZ-037","F",5,"A69-9002-15799","2012-1"
"6",7,2012-10-29,"TZ-031","M",7,"A69-9002-15372","2012-1"
"7",8,2012-10-29,"TZ-028","M",5,"A69-9002-15801","2012-1"
"8",9,2012-10-29,"TZ-034","M",6,"A69-9002-15778","2012-1"
"9",10,2012-10-29,"TZ-035","M",4.5,"A69-9002-15803","2012-1"
"10",11,2012-10-30,"TZ-011","M",6,"A69-9002-15371","2012-1"
"11",12,2012-10-30,"TZ-024","M",5,"A69-9002-15366","2012-1"
"12",13,2012-10-30,"TZ-012","F",7,"A69-9002-15368","2012-1"
"13",14,2012-11-07,"TZ-055","F",5,"A69-9002-15805","2012-1"
"14",15,2012-11-10,"TZ-036","F",5,"A69-9002-15807","2012-1"
"15",16,2012-12-15,"TZ-068","F",6,"A69-9001-28059","2012-2"
"16",17,2012-12-15,"TZ-064","M",6.5,"A69-9001-28062","2012-2"
"17",18,2012-12-15,"TZ-075","M",5,"A69-9001-28060","2012-2"
"18",19,2012-12-15,"TZ-003","M",8.5,"A69-9001-28058","2012-2"
"19",20,2012-12-16,"TZ-060","M",8,"A69-9001-28056","2012-2"
"20",21,2012-12-16,"TZ-049","M",5,"A69-9001-28057","2012-2"
"21",22,2012-12-22,"TZ-030","M",4.5,"A69-9001-28061","2012-2"
"22",23,2012-12-22,"TZ-017","M",7,"A69-9001-28082","2012-2"
"23",24,2012-12-22,"TZ-053","M",6,"A69-9001-28063","2012-2"
"24",25,2012-12-23,"TZ-040","M",4.5,"A69-9001-28079","2012-2"
"25",26,2012-12-23,"TZ-009","M",6.5,"A69-9001-28077","2012-2"
"26",27,2012-12-25,"TZ-084","F",5,"A69-9001-28064","2012-2"
"27",28,2012-12-25,"TZ-054","F",5,"A69-9001-28078","2012-2"
"28",29,2012-12-29,"TZ-052","F",6,"A69-9001-28080","2012-2"
"29",30,2012-12-29,"TZ-042","M",9,"A69-9001-28081","2012-2"
"30",31,2014-01-08,"TZ-048","M",6,"A69-1303-44376","2014-1"
"31",32,2014-01-08,"TZ-999","M",6,"A69-1303-44375","2014-1"
"32",33,2014-01-12,"TZ-998","M",6,"A69-1303-44377","2014-1"
"33",34,2014-02-01,"TZ-997","F",6,"A69-1303-44372","2014-1"
"34",35,2014-02-02,"TZ-996","M",6,"A69-1303-44378","2014-1"
"35",36,2014-02-02,"TZ-995","M",4.5,"A69-1303-44373","2014-1"
"36",37,2014-02-02,"TZ-994","M",6,"A69-1303-44371","2014-1"
